wind_error_da,Activation,Probability,wind_error_da Mid
"(-250.471, -234.3]",down,1.0,-242.3855
"(-250.471, -234.3]",none,0.0,-242.3855
"(-250.471, -234.3]",up,0.0,-242.3855
"(-234.3, -218.6]",down,0.75,-226.45
"(-234.3, -218.6]",none,0.25,-226.45
"(-234.3, -218.6]",up,0.0,-226.45
"(-218.6, -202.9]",down,0.5,-210.75
"(-218.6, -202.9]",none,0.5,-210.75
"(-218.6, -202.9]",up,0.0,-210.75
"(-202.9, -187.2]",none,1.0,-195.05
"(-202.9, -187.2]",down,0.0,-195.05
"(-202.9, -187.2]",up,0.0,-195.05
"(-187.2, -171.5]",none,1.0,-179.35
"(-187.2, -171.5]",down,0.0,-179.35
"(-187.2, -171.5]",up,0.0,-179.35
"(-171.5, -155.8]",none,0.75,-163.65
"(-171.5, -155.8]",up,0.16666666666666666,-163.65
"(-171.5, -155.8]",down,0.08333333333333333,-163.65
"(-155.8, -140.1]",none,0.792,-147.95
"(-155.8, -140.1]",down,0.128,-147.95
"(-155.8, -140.1]",up,0.08,-147.95
"(-140.1, -124.4]",none,0.6626506024096386,-132.25
"(-140.1, -124.4]",down,0.21084337349397592,-132.25
"(-140.1, -124.4]",up,0.12650602409638553,-132.25
"(-124.4, -108.7]",none,0.6457142857142857,-116.55000000000001
"(-124.4, -108.7]",down,0.17714285714285713,-116.55000000000001
"(-124.4, -108.7]",up,0.17714285714285713,-116.55000000000001
"(-108.7, -93.0]",none,0.5604113110539846,-100.85
"(-108.7, -93.0]",down,0.2262210796915167,-100.85
"(-108.7, -93.0]",up,0.2133676092544987,-100.85
"(-93.0, -77.3]",none,0.6575342465753424,-85.15
"(-93.0, -77.3]",down,0.1863013698630137,-85.15
"(-93.0, -77.3]",up,0.15616438356164383,-85.15
"(-77.3, -61.6]",none,0.6843832020997376,-69.45
"(-77.3, -61.6]",down,0.18175853018372704,-69.45
"(-77.3, -61.6]",up,0.13385826771653545,-69.45
"(-61.6, -45.9]",none,0.5680361854504334,-53.75
"(-61.6, -45.9]",down,0.26272144741801734,-53.75
"(-61.6, -45.9]",up,0.1692423671315492,-53.75
"(-45.9, -30.2]",none,0.6031349386642435,-38.05
"(-45.9, -30.2]",down,0.26147205815538394,-38.05
"(-45.9, -30.2]",up,0.13539300318037256,-38.05
"(-30.2, -14.5]",none,0.6084470890211178,-22.35
"(-30.2, -14.5]",down,0.2606463656516159,-22.35
"(-30.2, -14.5]",up,0.13090654532726637,-22.35
"(-14.5, 1.2]",none,0.5774613003095975,-6.65
"(-14.5, 1.2]",down,0.298328173374613,-6.65
"(-14.5, 1.2]",up,0.12421052631578948,-6.65
"(1.2, 16.9]",none,0.5609826589595376,9.049999999999999
"(1.2, 16.9]",down,0.3248554913294798,9.049999999999999
"(1.2, 16.9]",up,0.11416184971098266,9.049999999999999
"(16.9, 32.6]",none,0.5378876535985957,24.75
"(16.9, 32.6]",down,0.35093622001170277,24.75
"(16.9, 32.6]",up,0.11117612638970158,24.75
"(32.6, 48.3]",none,0.510012782275245,40.45
"(32.6, 48.3]",down,0.35172560715807416,40.45
"(32.6, 48.3]",up,0.13826161056668088,40.45
"(48.3, 64.0]",none,0.543991014601273,56.15
"(48.3, 64.0]",down,0.3249719206289779,56.15
"(48.3, 64.0]",up,0.13103706476974916,56.15
"(64.0, 79.7]",none,0.5718213058419244,71.85
"(64.0, 79.7]",down,0.2872852233676976,71.85
"(64.0, 79.7]",up,0.140893470790378,71.85
"(79.7, 95.4]",none,0.5476190476190477,87.55000000000001
"(79.7, 95.4]",down,0.3011204481792717,87.55000000000001
"(79.7, 95.4]",up,0.15126050420168066,87.55000000000001
"(95.4, 111.1]",none,0.5442477876106194,103.25
"(95.4, 111.1]",down,0.27654867256637167,103.25
"(95.4, 111.1]",up,0.17920353982300885,103.25
"(111.1, 126.8]",none,0.44324324324324327,118.94999999999999
"(111.1, 126.8]",down,0.43243243243243246,118.94999999999999
"(111.1, 126.8]",up,0.12432432432432433,118.94999999999999
"(126.8, 142.5]",none,0.569620253164557,134.65
"(126.8, 142.5]",down,0.34810126582278483,134.65
"(126.8, 142.5]",up,0.08227848101265822,134.65
"(142.5, 158.2]",none,0.5138888888888888,150.35
"(142.5, 158.2]",down,0.4166666666666667,150.35
"(142.5, 158.2]",up,0.06944444444444445,150.35
"(158.2, 173.9]",none,0.6341463414634146,166.05
"(158.2, 173.9]",down,0.36585365853658536,166.05
"(158.2, 173.9]",up,0.0,166.05
"(173.9, 189.6]",down,0.7307692307692307,181.75
"(173.9, 189.6]",none,0.2692307692307692,181.75
"(173.9, 189.6]",up,0.0,181.75
"(189.6, 205.3]",down,0.6470588235294118,197.45
"(189.6, 205.3]",none,0.35294117647058826,197.45
"(189.6, 205.3]",up,0.0,197.45
"(205.3, 221.0]",none,0.75,213.15
"(205.3, 221.0]",down,0.25,213.15
"(205.3, 221.0]",up,0.0,213.15
