ts_local,date,hour,price,volume,area,reserveType,direction
2024-11-01 00:00:00,2024-11-01,00:00,16.0,15,NO1,A96,A01
2024-11-01 01:00:00,2024-11-01,01:00,12.0,0,NO1,A96,A01
2024-11-01 02:00:00,2024-11-01,02:00,12.0,0,NO1,A96,A01
2024-11-01 03:00:00,2024-11-01,03:00,12.0,0,NO1,A96,A01
2024-11-01 04:00:00,2024-11-01,04:00,13.0,0,NO1,A96,A01
2024-11-01 05:00:00,2024-11-01,05:00,29.12,15,NO1,A96,A01
2024-11-01 06:00:00,2024-11-01,06:00,32.5,15,NO1,A96,A01
2024-11-01 07:00:00,2024-11-01,07:00,31.5,15,NO1,A96,A01
2024-11-01 08:00:00,2024-11-01,08:00,31.5,15,NO1,A96,A01
2024-11-01 09:00:00,2024-11-01,09:00,20.2,15,NO1,A96,A01
2024-11-01 10:00:00,2024-11-01,10:00,17.0,15,NO1,A96,A01
2024-11-01 11:00:00,2024-11-01,11:00,22.48,15,NO1,A96,A01
2024-11-01 12:00:00,2024-11-01,12:00,19.0,15,NO1,A96,A01
2024-11-01 13:00:00,2024-11-01,13:00,18.0,15,NO1,A96,A01
2024-11-01 14:00:00,2024-11-01,14:00,17.5,15,NO1,A96,A01
2024-11-01 15:00:00,2024-11-01,15:00,18.0,15,NO1,A96,A01
2024-11-01 16:00:00,2024-11-01,16:00,17.0,15,NO1,A96,A01
2024-11-01 17:00:00,2024-11-01,17:00,20.85,15,NO1,A96,A01
2024-11-01 18:00:00,2024-11-01,18:00,20.85,15,NO1,A96,A01
2024-11-01 19:00:00,2024-11-01,19:00,20.85,15,NO1,A96,A01
2024-11-01 20:00:00,2024-11-01,20:00,20.1,15,NO1,A96,A01
2024-11-01 21:00:00,2024-11-01,21:00,20.2,15,NO1,A96,A01
2024-11-01 22:00:00,2024-11-01,22:00,20.0,15,NO1,A96,A01
2024-11-01 23:00:00,2024-11-01,23:00,18.0,15,NO1,A96,A01
