wind_revision,Activation,Probability,wind_revision Mid
"(-0.151, 5.033]",none,0.5270058340129227,2.4410000000000003
"(-0.151, 5.033]",down,0.35518474374255066,2.4410000000000003
"(-0.151, 5.033]",up,0.11780942224452669,2.4410000000000003
"(5.033, 10.067]",none,0.5296686360133573,7.550000000000001
"(5.033, 10.067]",down,0.339969175443103,7.550000000000001
"(5.033, 10.067]",up,0.13036218854353968,7.550000000000001
"(10.067, 15.1]",none,0.5316001792917974,12.5835
"(10.067, 15.1]",down,0.34043030031376065,12.5835
"(10.067, 15.1]",up,0.12796952039444195,12.5835
"(15.1, 20.133]",none,0.5297014465989536,17.6165
"(15.1, 20.133]",down,0.32717759310557093,17.6165
"(15.1, 20.133]",up,0.14312096029547552,17.6165
"(20.133, 25.167]",none,0.5517711171662125,22.65
"(20.133, 25.167]",down,0.315622161671208,22.65
"(20.133, 25.167]",up,0.13260672116257946,22.65
"(25.167, 30.2]",none,0.5042125729099157,27.683500000000002
"(25.167, 30.2]",down,0.36876215165262477,27.683500000000002
"(25.167, 30.2]",up,0.1270252754374595,27.683500000000002
"(30.2, 35.233]",none,0.4984984984984985,32.716499999999996
"(30.2, 35.233]",down,0.36936936936936937,32.716499999999996
"(30.2, 35.233]",up,0.13213213213213212,32.716499999999996
"(35.233, 40.267]",none,0.5502063273727648,37.75
"(35.233, 40.267]",down,0.2998624484181568,37.75
"(35.233, 40.267]",up,0.1499312242090784,37.75
"(40.267, 45.3]",none,0.5885608856088561,42.783500000000004
"(40.267, 45.3]",down,0.29704797047970477,42.783500000000004
"(40.267, 45.3]",up,0.11439114391143912,42.783500000000004
"(45.3, 50.333]",none,0.5128205128205128,47.8165
"(45.3, 50.333]",down,0.31025641025641026,47.8165
"(45.3, 50.333]",up,0.17692307692307693,47.8165
"(50.333, 55.367]",none,0.5665236051502146,52.849999999999994
"(50.333, 55.367]",down,0.2575107296137339,52.849999999999994
"(50.333, 55.367]",up,0.1759656652360515,52.849999999999994
"(55.367, 60.4]",none,0.5502392344497608,57.8835
"(55.367, 60.4]",down,0.28708133971291866,57.8835
"(55.367, 60.4]",up,0.16267942583732056,57.8835
"(60.4, 65.433]",none,0.4513888888888889,62.9165
"(60.4, 65.433]",down,0.3611111111111111,62.9165
"(60.4, 65.433]",up,0.1875,62.9165
"(65.433, 70.467]",none,0.49514563106796117,67.95
"(65.433, 70.467]",down,0.4077669902912621,67.95
"(65.433, 70.467]",up,0.0970873786407767,67.95
"(70.467, 75.5]",none,0.5360824742268041,72.98349999999999
"(70.467, 75.5]",down,0.32989690721649484,72.98349999999999
"(70.467, 75.5]",up,0.13402061855670103,72.98349999999999
"(75.5, 80.533]",none,0.6666666666666666,78.01650000000001
"(75.5, 80.533]",down,0.23076923076923078,78.01650000000001
"(75.5, 80.533]",up,0.10256410256410256,78.01650000000001
"(80.533, 85.567]",none,0.6382978723404256,83.05
"(80.533, 85.567]",down,0.3617021276595745,83.05
"(80.533, 85.567]",up,0.0,83.05
"(85.567, 90.6]",none,0.5135135135135135,88.08349999999999
"(85.567, 90.6]",down,0.3783783783783784,88.08349999999999
"(85.567, 90.6]",up,0.10810810810810811,88.08349999999999
"(90.6, 95.633]",none,0.6511627906976745,93.1165
"(90.6, 95.633]",down,0.27906976744186046,93.1165
"(90.6, 95.633]",up,0.06976744186046512,93.1165
"(95.633, 100.667]",none,0.5833333333333334,98.15
"(95.633, 100.667]",down,0.2708333333333333,98.15
"(95.633, 100.667]",up,0.14583333333333334,98.15
"(100.667, 105.7]",down,0.5,103.18350000000001
"(100.667, 105.7]",none,0.5,103.18350000000001
"(100.667, 105.7]",up,0.0,103.18350000000001
"(105.7, 110.733]",none,0.6666666666666666,108.2165
"(105.7, 110.733]",down,0.3333333333333333,108.2165
"(105.7, 110.733]",up,0.0,108.2165
"(110.733, 115.767]",none,1.0,113.25
"(110.733, 115.767]",down,0.0,113.25
"(110.733, 115.767]",up,0.0,113.25
"(115.767, 120.8]",none,1.0,118.2835
"(115.767, 120.8]",down,0.0,118.2835
"(115.767, 120.8]",up,0.0,118.2835
"(120.8, 125.833]",none,1.0,123.31649999999999
"(120.8, 125.833]",down,0.0,123.31649999999999
"(120.8, 125.833]",up,0.0,123.31649999999999
"(125.833, 130.867]",down,0.5714285714285714,128.35
"(125.833, 130.867]",none,0.42857142857142855,128.35
"(125.833, 130.867]",up,0.0,128.35
"(130.867, 135.9]",none,0.8888888888888888,133.3835
"(130.867, 135.9]",down,0.1111111111111111,133.3835
"(130.867, 135.9]",up,0.0,133.3835
"(135.9, 140.933]",none,0.7142857142857143,138.41649999999998
"(135.9, 140.933]",down,0.2857142857142857,138.41649999999998
"(135.9, 140.933]",up,0.0,138.41649999999998
"(140.933, 145.967]",none,1.0,143.45
"(140.933, 145.967]",down,0.0,143.45
"(140.933, 145.967]",up,0.0,143.45
"(145.967, 151.0]",none,0.6666666666666666,148.4835
"(145.967, 151.0]",down,0.3333333333333333,148.4835
"(145.967, 151.0]",up,0.0,148.4835
